City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,soure,-0.7167,-48.5233,27.74,76,61,3.87,BR,1675195924
151,tecoanapa,16.5167,-98.75,29.04,53,0,4.28,MX,1675195925
152,chato,-2.6378,31.7669,19.67,71,100,2.78,TZ,1675195927
153,kruisfontein,-34.0033,24.7314,19.99,96,12,2.46,ZA,1675195928
154,amarante do maranhao,-5.5667,-46.7422,28.02,75,56,2.39,BR,1675195928
155,khandyga,62.6667,135.6,-34.41,98,100,0.95,RU,1675195929
156,salalah,17.0151,54.0924,21.39,68,36,2.75,OM,1675195665
157,saskylakh,71.9167,114.0833,-34.72,97,100,2.71,RU,1675195256
158,hasaki,35.7333,140.8333,-5.78,54,55,2.49,JP,1675195931
159,kibre mengist,5.8833,38.9833,15.41,57,8,1.15,ET,1675195932
160,cidreira,-30.1811,-50.2056,26.18,78,9,3.51,BR,1675195495
161,te anau,-45.4167,167.7167,16.38,92,100,0.4,NZ,1675195933
162,begunitsy,59.5855,29.3176,-1.61,97,99,4.21,RU,1675195934
163,trairi,-3.2778,-39.2689,27.49,72,100,5.32,BR,1675195694
164,kailua,21.4022,-157.7394,25.99,90,39,0.89,US,1675195935
165,san felipe,10.3399,-68.7425,28.28,40,36,4.4,VE,1675195936
166,murgab,37.4966,61.9714,14.42,36,100,10.14,TM,1675195937
167,harpanahalli,14.8,75.9833,21.49,53,26,3.31,IN,1675195938
168,bemban,2.2684,102.3746,24.49,95,94,1.77,MY,1675195939
169,tevriz,57.509,72.4042,-12.22,95,87,1.91,RU,1675195939
170,krasnoselkup,65.7,82.4667,-23.4,100,66,3.6,RU,1675195940
171,makakilo city,21.3469,-158.0858,25.18,77,40,3.09,US,1675195941
172,upernavik,72.7868,-56.1549,-16.98,94,100,5.22,GL,1675195722
173,pueblo nuevo,23.3833,-105.3833,20.19,27,82,3.41,MX,1675195474
174,rocha,-34.4833,-54.3333,26.93,59,21,5.81,UY,1675195942
175,makinsk,52.6292,70.4169,-21.06,90,47,1.93,KZ,1675195943
176,maldonado,-34.6667,-54.9167,26.66,55,31,6.24,UY,1675195944
177,hobart,-42.8794,147.3294,14.92,80,20,4.63,AU,1675195620
178,kyzyl,51.7,94.45,-26.67,99,93,0.41,RU,1675195947
179,leshukonskoye,64.8989,45.7622,-1.48,93,100,6.24,RU,1675195948
180,cayenne,4.9333,-52.3333,27.02,83,75,4.63,GF,1675195948
181,khatanga,71.9667,102.5,-41.44,100,75,2.3,RU,1675195384
182,saint george,37.1041,-113.5841,4.13,29,0,1.34,US,1675195912
183,tiksi,71.6872,128.8694,-21.6,98,100,4.94,RU,1675195517
184,whitehorse,60.7161,-135.0538,-8.83,81,100,0.89,CA,1675195951
185,lorengau,-2.0226,147.2712,26.76,80,100,3.35,PG,1675195427
186,buala,-8.145,159.5921,26.74,76,100,2.11,SB,1675195930
187,yuancheng,36.652,107.7896,-5.1,32,67,4.35,CN,1675195953
188,taltal,-25.4,-70.4833,21.45,75,27,2.18,CL,1675195822
189,lagoa,39.05,-27.9833,13.74,68,89,5.68,PT,1675195955
190,nikolayevskaya,47.6139,41.5023,1.87,85,100,3.07,RU,1675195955
191,davila,18.4726,120.5763,23.39,70,3,1.9,PH,1675195956
192,codrington,-38.2667,141.9667,14.92,81,100,3.79,AU,1675195957
193,ahipara,-35.1667,173.1667,20.43,95,100,3.01,NZ,1675195442
194,bejar,40.3864,-5.7634,3.65,75,1,2.95,ES,1675195958
195,nabire,-3.3667,135.4833,23.96,91,96,1.23,ID,1675195448
196,ossora,59.2353,163.0719,-6.77,96,100,2.05,RU,1675195959
197,george,-33.963,22.4617,20.02,75,0,0.81,ZA,1675195960
198,nanortalik,60.1432,-45.2371,-7.35,77,100,0.59,GL,1675195953
199,dongsheng,39.8161,109.9776,-10.58,43,98,5.24,CN,1675195961
200,kodiak,57.79,-152.4072,3.73,93,100,2.57,US,1675195962
201,abu samrah,35.3029,37.1841,7.5,70,11,5.88,SY,1675195962
202,neftcala,39.3742,49.2472,7.58,90,100,1.12,AZ,1675195963
203,rudnichnyy,59.617,52.4703,-3.02,93,100,4.75,RU,1675195964
204,sobolevo,54.4299,31.8996,-0.5,84,100,4.4,RU,1675195964
205,camalu,30.85,-116.0667,13.2,61,94,3.15,MX,1675195965
206,bambous virieux,-20.3428,57.7575,25.12,83,95,5.93,MU,1675195618
207,opuwo,-18.0607,13.84,18.78,84,98,1.47,NA,1675195966
208,coquimbo,-29.9533,-71.3436,21.85,68,0,6.17,CL,1675195774
209,the pas,53.8251,-101.2541,-22.73,88,84,2.35,CA,1675195967
210,sao joao da barra,-21.6403,-41.0511,29.05,82,71,7.23,BR,1675195968
211,reconquista,-29.15,-59.65,39.77,12,0,4.17,AR,1675195968
212,zhigansk,66.7697,123.3711,-32.18,98,100,2.27,RU,1675195882
213,brawley,32.9787,-115.5303,16.45,38,100,2.06,US,1675195969
214,flinders,-34.5833,150.8552,21.21,82,80,0.89,AU,1675195611
215,oranjemund,-28.55,16.4333,17.62,95,0,2.22,NA,1675195970
216,kilindoni,-7.9139,39.6668,26.91,79,99,4.01,TZ,1675195971
217,odweyne,9.4092,45.064,18.12,51,12,1.97,SO,1675195971
218,diego de almagro,-26.3667,-70.05,27.52,26,0,7.04,CL,1675195972
219,tomatlan,19.9333,-105.25,29.61,46,19,3.93,MX,1675195614
220,aklavik,68.2191,-135.0107,-35.63,100,20,1.25,CA,1675195415
221,faya,18.3851,42.4509,12.29,65,34,1.63,SA,1675195923
222,nuuk,64.1835,-51.7216,-12.66,85,20,8.23,GL,1675195974
223,saint-georges,12.0564,-61.7485,27.82,69,40,6.69,GD,1675195498
224,endicott,42.0984,-76.0494,-1.31,59,40,5.14,US,1675195968
225,banda aceh,5.5577,95.3222,25.08,81,100,3.1,ID,1675195975
226,egvekinot,66.3167,-179.1667,-9.47,92,100,2.56,RU,1675195976
227,itapetinga,-15.2489,-40.2478,27.57,66,46,1.76,BR,1675195976
228,abadan,30.3392,48.3043,17.1,80,84,6.21,IR,1675195977
229,belmonte,-15.8631,-38.8828,27.14,68,1,3.76,BR,1675195978
230,sinnamary,5.3833,-52.95,25.74,81,53,3.24,GF,1675195978
231,marawi,7.9986,124.2928,19.61,94,22,0.9,PH,1675195979
232,klyuchi,52.2667,79.1667,-9.94,93,100,1.72,RU,1675195980
233,leningradskiy,69.3833,178.4167,-16.27,96,100,2.3,RU,1675195742
234,atherton,53.5237,-2.4935,7.94,79,31,1.34,GB,1675195981
235,vila franca do campo,37.7167,-25.4333,14.23,82,53,4.04,PT,1675195982
236,surt,31.2089,16.5887,15.02,62,61,10.18,LY,1675195989
237,borazjan,29.2666,51.2159,17.8,61,100,8.01,IR,1675195993
238,fagersta,60.0042,15.7932,-4.75,86,98,1.31,SE,1675196015
239,xining,36.6167,101.7667,-5.58,37,6,0.87,CN,1675196022
240,nikolskoye,59.7035,30.7861,-1.06,95,100,3.17,RU,1675195501
241,beringovskiy,63.05,179.3167,-2.9,93,68,5.9,RU,1675195979
242,west bay,19.3667,-81.4167,30.04,74,20,5.14,KY,1675195944
243,lakes entrance,-37.8811,147.981,16.2,89,99,2.06,AU,1675196030
244,akure,7.2526,5.1931,25.03,73,95,1.82,NG,1675196031
245,atambua,-9.1061,124.8925,23.22,92,100,0.74,ID,1675196031
246,san jose,37.3394,-121.895,15.5,22,20,2.24,US,1675195629
247,pevek,69.7008,170.3133,-10.88,78,0,4.33,RU,1675195546
248,riberalta,-10.9833,-66.1,23.94,96,99,1.72,BO,1675196034
249,bastrop,32.7562,-91.8724,2.82,93,100,1.79,US,1675195561
250,beyneu,45.3167,55.2,-0.93,84,12,6.03,KZ,1675196035
251,brae,60.3964,-1.353,5.09,76,99,15.34,GB,1675196035
252,lompoc,34.6391,-120.4579,18.9,49,0,3.58,US,1675196036
253,portland,45.5234,-122.6762,5.06,58,0,1.54,US,1675195288
254,huarmey,-10.0681,-78.1522,24.56,71,61,3.88,PE,1675196039
255,termini imerese,37.9837,13.6956,11.1,61,36,3.48,IT,1675196039
256,bodmin,50.4715,-4.7243,7.98,76,40,6.17,GB,1675196040
257,brigantine,39.4101,-74.3646,3.11,91,100,2.06,US,1675195903
258,maniitsoq,65.4167,-52.9,-15.67,73,100,3.97,GL,1675195798
259,college,64.8569,-147.8028,-7.03,86,100,2.57,US,1675195920
260,chemal,51.4111,86.005,-10.79,90,99,2.32,RU,1675196047
261,karratha,-20.7377,116.8463,30.01,59,15,4.12,AU,1675195615
262,meulaboh,4.1363,96.1285,23.48,88,100,3.92,ID,1675196034
263,moron,-34.6534,-58.6198,32.75,65,0,5.68,AR,1675196053
264,encantado,-29.2361,-51.8697,33.92,53,60,1.17,BR,1675196046
265,samarai,-10.6167,150.6667,27.03,81,96,2.36,PG,1675196059
266,bonavista,48.6499,-53.1147,-1.93,85,100,1.73,CA,1675196063
267,el tocuyo,9.7873,-69.7937,29.15,32,3,2.92,VE,1675196066
268,estevan,49.1334,-102.9842,-13.81,78,100,4.63,CA,1675196071
269,kalabo,-14.97,22.6814,18.2,96,78,3.5,ZM,1675196073
270,ust-kut,56.7938,105.7672,-21.48,100,100,1.44,RU,1675196078
271,port blair,11.6667,92.75,25.87,73,100,3.55,IN,1675196085
272,rawson,-43.3002,-65.1023,18.9,46,0,7.99,AR,1675195851
273,esperance,-33.8667,121.9,16.7,74,100,6.29,AU,1675195585
274,glenwood springs,39.5505,-107.3248,-2.43,55,0,2.57,US,1675196087
275,sterling,39.0062,-77.4286,3.53,90,100,2.68,US,1675195809
276,christchurch,-43.5333,172.6333,19.95,86,100,5.14,NZ,1675196088
277,tripoli,32.8752,13.1875,13.53,59,37,6.15,LY,1675196022
278,zhezkazgan,47.8043,67.7144,-18.76,100,70,2.82,KZ,1675196090
279,turukhansk,65.8167,87.9833,-14.69,95,100,4.27,RU,1675196090
280,port keats,-14.25,129.55,28.01,79,100,4.17,AU,1675196091
281,bubaque,11.2833,-15.8333,25.32,68,1,7.37,GW,1675195740
282,geraldton,-28.7667,114.6,21.23,88,0,2.06,AU,1675196000
283,hokitika,-42.7167,170.9667,20.0,79,100,2.42,NZ,1675196092
284,almaty,43.25,76.95,-5.05,68,75,2.0,KZ,1675196093
285,balkanabat,39.5108,54.3671,9.08,55,100,1.72,TM,1675196094
286,los llanos de aridane,28.6585,-17.9182,14.86,74,75,4.63,ES,1675196095
287,zavodouspenskoye,56.8626,65.0155,-7.88,91,55,3.23,RU,1675196095
288,bone,51.9669,12.1396,7.72,81,100,10.43,DE,1675196096
289,pau brasil,-15.4642,-39.6511,26.51,66,87,2.18,BR,1675196097
290,gorin,51.1983,136.6669,-32.89,100,65,0.55,RU,1675196097
291,colquiri,-17.4167,-67.1333,9.63,55,100,5.31,BO,1675196098
292,chernyshevskiy,63.0128,112.4714,-42.99,100,58,0.96,RU,1675196098
293,pangnirtung,66.1451,-65.7125,-34.53,71,38,3.72,CA,1675195744
294,doha,25.2867,51.5333,19.94,86,0,8.75,QA,1675196100
295,lovington,32.944,-103.3485,-6.53,59,100,3.28,US,1675196101
296,kurilsk,45.2333,147.8833,-5.86,63,100,4.51,RU,1675195943
297,carballo,43.213,-8.691,9.37,82,7,2.89,ES,1675196106
298,hirara,24.8,125.2833,20.37,62,43,7.27,JP,1675196108
299,isla vista,34.4133,-119.861,17.73,53,0,4.12,US,1675196110
300,khandbari,27.3747,87.2039,13.57,46,0,1.86,NP,1675196116
301,khani,41.9563,42.9566,-1.24,79,100,0.72,GE,1675195958
302,neiafu,-18.65,-173.9833,25.38,94,75,3.09,TO,1675196120
303,dwarka,22.2394,68.9678,20.23,58,0,6.63,IN,1675195680
304,pucallpa,-8.3791,-74.5539,32.02,58,75,2.06,PE,1675196125
305,berlevag,70.8578,29.0864,0.97,80,100,10.8,NO,1675195919
306,daru,-9.0763,143.2092,25.09,92,100,2.59,PG,1675195820
307,smalininkai,55.0735,22.5793,-0.14,91,100,5.16,LT,1675196147
308,rajgarh,28.6333,75.3833,13.78,57,0,3.76,IN,1675196150
309,el naranjo,21.4667,-98.6,31.28,34,3,2.51,MX,1675196152
310,kismayo,-0.3582,42.5454,24.96,82,32,6.78,SO,1675196153
311,prado,-17.3411,-39.2208,26.68,72,4,3.73,BR,1675195943
312,waingapu,-9.6567,120.2641,26.1,81,94,2.63,ID,1675196155
313,bridlington,54.0831,-0.1919,7.16,72,23,8.89,GB,1675196157
314,narsaq,60.9167,-46.05,-6.88,92,100,0.35,GL,1675196158
315,yekaterinovka,52.0508,44.3451,-2.24,97,100,4.9,RU,1675196158
316,svetlogorsk,52.6333,29.7333,-0.24,91,100,3.74,BY,1675195947
317,villa carlos paz,-31.4241,-64.4978,29.94,10,95,4.47,AR,1675195932
318,gornopravdinsk,60.05,69.9,-10.71,96,99,3.38,RU,1675196160
319,shache,38.4167,77.2406,-7.44,88,3,2.05,CN,1675196161
320,soyo,-6.1349,12.3689,26.68,82,22,3.45,AO,1675196163
321,helong,42.5397,128.9972,-9.91,93,100,2.12,CN,1675196168
322,avarua,-21.2078,-159.775,24.03,88,75,2.57,CK,1675196170
323,luderitz,-26.6481,15.1594,16.97,92,0,3.98,NA,1675195674
324,liverpool,53.4106,-2.9779,8.49,77,0,10.8,GB,1675196177
325,namatanai,-3.6667,152.4333,26.07,81,76,1.38,PG,1675195948
326,ron phibun,8.1791,99.8542,22.62,91,99,1.33,TH,1675196185
327,rosarito,32.3333,-117.0333,17.36,50,28,2.64,MX,1675195938
